index	searchurl	r_link	r_description	r_title	r_image	r_price	r_seller	specs	sku	s_itemname	s_mpn	brand	s_manufacturer	cost	gpm	floorprice	s_price	shipping	saleprice	s_category	s_product_url	s_image_url	map_enforced	map	s_gtin	s_upc	s_asin	s_variant_info	search_key	keywords	clientid	client	encoded_keyword	sku_id	freq	price_lower	price_upper	l3.1	NameMatchScore	l2.1	l4.1	l5.1	l6.1	l2.2	l4.2	l5.2	l6.2	l7	score	id
55	https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=759598802113	https://www.amazon.com/gp/offer-listing/B00BX9TEAO/ref=olp_f_new?ie=UTF8&f_new=true		"Wholesale CASE of 20 - Wausau Exact 67lb. Vellum Bristol Paper-Exact Vellum Paper,8-1/2""x11"",67lb.,94 Bright,250SH/PK,White"	https://images-na.ssl-images-amazon.com/images/I/41Tk6ud98TL._AC_US218_.jpg	$ 184 90	Wau	https://www.amazon.com/gp/offer-listing/B00BX9TEAO/ref=olp_f_new?ie=UTF8&f_new=true	3-80211-F-P	Exact Vellum Bristol White Paper - 8 1/2 x 11 in 67 lb Bristol Vellum 250 per Package				3.83		7.976	9.97				https://www.thepapermillstore.com/exact-vellum-bristol-white-paper-8-1-2-x-11-in-67-lb-bristol-vellum-250-per-package.html	https://www.thepapermillstore.com/media/catalog/product/e/x/exact-vellum-bristol-white-paper.jpg			00759598802113	759598802113			UPC	759598802113	0	TPMS	759598802113	26	1	184.90	nan	0	0.5997380226404261	0	0	0	0	0	0	0	0	0	0	71
26	https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=759598802113	https://www.amazon.com/gp/offer-listing/B006P1ER8O/ref=olp_f_new?ie=UTF8&f_new=true		"Neenah Exact Vellum Bristol, 8.5"" x 11"", 67 lb/147 gsm, White, 94 Brightness, 250 Sheets (80211)"	https://images-na.ssl-images-amazon.com/images/I/41utc1WE8NL._AC_US218_.jpg	$ 10 30	Neenah	https://www.amazon.com/gp/offer-listing/B006P1ER8O/ref=olp_f_new?ie=UTF8&f_new=true	3-80211-F-P	Exact Vellum Bristol White Paper - 8 1/2 x 11 in 67 lb Bristol Vellum 250 per Package				3.83		7.976	9.97				https://www.thepapermillstore.com/exact-vellum-bristol-white-paper-8-1-2-x-11-in-67-lb-bristol-vellum-250-per-package.html	https://www.thepapermillstore.com/media/catalog/product/e/x/exact-vellum-bristol-white-paper.jpg			00759598802113	759598802113			UPC	759598802113	0	TPMS	759598802113	26	1	10.30	nan	0	0.483212328637062	0	0	0	0	0	0	0	0	0	0	72
27	https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=759598802120	https://www.amazon.com/gp/offer-listing/B006P1Z4WM/ref=olp_f_new?ie=UTF8&f_new=true		"Exact Vellum Bristol, 8.5"" x 14"", 67 lb/147 gsm, White, 94 Brightness, 250 Sheets (80212)"	https://images-na.ssl-images-amazon.com/images/I/51e1zeWFzTL._AC_US218_.jpg	$ 21 05	Neenah	https://www.amazon.com/gp/offer-listing/B006P1Z4WM/ref=olp_f_new?ie=UTF8&f_new=true	3-80212-F-P	Exact Vellum Bristol White Paper - 8 1/2 x 14 in 67 lb Bristol Vellum 250 per Package				5.19		10.376	12.97				https://www.thepapermillstore.com/exact-vellum-bristol-white-paper-8-1-2-x-14-in-67-lb-bristol-vellum-250-per-package.html	https://www.thepapermillstore.com/media/catalog/product/e/x/exact-vellum-bristol-white-paper.jpg			00759598802120	759598802120			UPC	759598802120	0	TPMS	759598802120	27	1	21.05	nan	0	0.502843195904585	0	0	0	0	0	0	0	0	0	0	73
84	https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=759598802137	https://www.amazon.com/gp/offer-listing/B0765CWLT1/ref=olp_f_new?ie=UTF8&f_new=true		Exact Vellum Bristol Med-Heavyweight Paper, 67lb, 92 Bright, 11 x 17, 250 Sheets	https://images-na.ssl-images-amazon.com/images/I/411NEUaOFRL._AC_US218_.jpg	$ 16 86	Neenah	https://www.amazon.com/Vellum-Bristol-Med-Heavyweight-Bright-Sheets/dp/B0765CWLT1/ref=olp_f_new?ie=UTF8&f_new=true	3-80213-F-P	Exact Vellum Bristol White Paper - 11 x 17 in 67 lb Bristol Vellum 250 per Package				8.15		15.176	18.97				https://www.thepapermillstore.com/exact-vellum-bristol-white-paper-11-x-17-in-67-lb-bristol-vellum-250-per-package.html	https://www.thepapermillstore.com/media/catalog/product/e/x/exact-vellum-bristol-white-paper.jpg			00759598802137	759598802137			UPC	759598802137	0	TPMS	759598802137	28	1	16.86	nan	0	0.6026023921002809	0	0	0	0	0	0	0	0	0	0	74
28	https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=759598802137	https://www.amazon.com/gp/offer-listing/B00OTW4PEW/ref=olp_f_new?ie=UTF8&f_new=true		Neenah Paper Exact Vellum Bristol, Copy/Print, White, 92 Bright, 67Lb, 11 X 17, 250 Shts/Pack	https://images-na.ssl-images-amazon.com/images/I/31J-T6QaxVL._AC_US218_.jpg	$ 17 67	Neenah	https://www.amazon.com/Neenah-Paper-Vellum-Bristol-Bright/dp/B00OTW4PEW/ref=olp_f_new?ie=UTF8&f_new=true	3-80213-F-P	Exact Vellum Bristol White Paper - 11 x 17 in 67 lb Bristol Vellum 250 per Package				8.15		15.176	18.97				https://www.thepapermillstore.com/exact-vellum-bristol-white-paper-11-x-17-in-67-lb-bristol-vellum-250-per-package.html	https://www.thepapermillstore.com/media/catalog/product/e/x/exact-vellum-bristol-white-paper.jpg			00759598802137	759598802137			UPC	759598802137	0	TPMS	759598802137	28	1	17.67	nan	0	0.5989405159756771	0	0	0	0	0	0	0	0	0	0	75
76	https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=759598802137	https://www.amazon.com/gp/offer-listing/B00FZZ0FKK/ref=olp_f_new?ie=UTF8&f_new=true		Neenah Paper Exact Vellum Bristol, Copy/Print, White, 92 Bright, 67lb, 11 x 17, 250 Shts/Pack	https://images-na.ssl-images-amazon.com/images/I/41iPtKqq2TL._AC_US218_.jpg	$ 23 15	MOT4	https://www.amazon.com/gp/offer-listing/B00FZZ0FKK/ref=olp_f_new?ie=UTF8&f_new=true	3-80213-F-P	Exact Vellum Bristol White Paper - 11 x 17 in 67 lb Bristol Vellum 250 per Package				8.15		15.176	18.97				https://www.thepapermillstore.com/exact-vellum-bristol-white-paper-11-x-17-in-67-lb-bristol-vellum-250-per-package.html	https://www.thepapermillstore.com/media/catalog/product/e/x/exact-vellum-bristol-white-paper.jpg			00759598802137	759598802137			UPC	759598802137	0	TPMS	759598802137	28	1	23.15	nan	0	0.5989405159756771	0	0	0	0	0	0	0	0	0	0	76
56	https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=759598802137	https://www.amazon.com/gp/offer-listing/B006P1Z5AI/ref=olp_f_new?ie=UTF8&f_new=true		Wausau 80213 Neenah Exact Vellum Bristol, 67 lb, 11 x 17 Inches, 250 Sheets, White, 94 Brightness	https://images-na.ssl-images-amazon.com/images/I/41M+i4IDySL._AC_US218_.jpg	$ 16 28	Neenah	https://www.amazon.com/gp/offer-listing/B006P1Z5AI/ref=olp_f_new?ie=UTF8&f_new=true	3-80213-F-P	Exact Vellum Bristol White Paper - 11 x 17 in 67 lb Bristol Vellum 250 per Package				8.15		15.176	18.97				https://www.thepapermillstore.com/exact-vellum-bristol-white-paper-11-x-17-in-67-lb-bristol-vellum-250-per-package.html	https://www.thepapermillstore.com/media/catalog/product/e/x/exact-vellum-bristol-white-paper.jpg			00759598802137	759598802137			UPC	759598802137	0	TPMS	759598802137	28	1	16.28	nan	0	0.5503828833504215	0	0	0	0	0	0	0	0	0	0	77
77	https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=759598813416	https://www.amazon.com/gp/offer-listing/B00BX9TH4C/ref=olp_f_new?ie=UTF8&f_new=true		"Wholesale CASE of 15 - Wausau Exact Vellum Bristol Paper-Vellum Bristol Paper,67 lb,8-1/2""x11"",92 Bright,250/PK,GY"	https://images-na.ssl-images-amazon.com/images/I/41xtMoRQUPL._AC_US218_.jpg	$ 147 91	Wau	https://www.amazon.com/Wholesale-CASE-15-Bristol-Paper-Vellum/dp/B00BX9TH4C/ref=olp_f_new?ie=UTF8&f_new=true	3-82341-F-P	Exact Vellum Bristol Gray Paper - 8 1/2 x 11 in 67 lb Bristol Vellum 250 per Package				4.03		11.976	14.97				https://www.thepapermillstore.com/exact-vellum-bristol-gray-paper-8-1-2-x-11-in-67-lb-bristol-vellum-250-per-package.html	https://www.thepapermillstore.com/media/catalog/product/e/x/exact-vellum-bristol-gray-paper.jpg			00759598813416	759598813416			UPC	759598813416	0	TPMS	759598813416	29	1	147.91	nan	0	0.5733818042418488	0	0	0	0	0	0	0	0	0	0	78
29	https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=759598813416	https://www.amazon.com/gp/offer-listing/B000J09UR0/ref=olp_f_new?ie=UTF8&f_new=true		Wausau Paper Vellum Bristol Cover Stock, 250-Sheets, Gray, 8.5 x 11-Inch (82341)	https://images-na.ssl-images-amazon.com/images/I/41TwLKe40UL._AC_US218_.jpg		Neenah	https://www.amazon.com/Wausau-Bristol-250-Sheets-11-Inch-82341/dp/B000J09UR0/ref=olp_f_new?ie=UTF8&f_new=true	3-82341-F-P	Exact Vellum Bristol Gray Paper - 8 1/2 x 11 in 67 lb Bristol Vellum 250 per Package				4.03		11.976	14.97				https://www.thepapermillstore.com/exact-vellum-bristol-gray-paper-8-1-2-x-11-in-67-lb-bristol-vellum-250-per-package.html	https://www.thepapermillstore.com/media/catalog/product/e/x/exact-vellum-bristol-gray-paper.jpg			00759598813416	759598813416			UPC	759598813416	0	TPMS	759598813416	29	1	nan	nan	0	0.42097152981861563	0	0	0	0	0	0	0	0	0	0	79
57	https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=759598813416	https://www.amazon.com/gp/offer-listing/B002U3G2SE/ref=olp_f_new?ie=UTF8&f_new=true		WAU82341 - Neenah Paper Exact Vellum Bristol Cover Stock	https://images-na.ssl-images-amazon.com/images/I/41st5bNbM0L._AC_US218_.jpg	$ 16 70	Wausau	https://www.amazon.com/gp/offer-listing/B002U3G2SE/ref=olp_f_new?ie=UTF8&f_new=true	3-82341-F-P	Exact Vellum Bristol Gray Paper - 8 1/2 x 11 in 67 lb Bristol Vellum 250 per Package				4.03		11.976	14.97				https://www.thepapermillstore.com/exact-vellum-bristol-gray-paper-8-1-2-x-11-in-67-lb-bristol-vellum-250-per-package.html	https://www.thepapermillstore.com/media/catalog/product/e/x/exact-vellum-bristol-gray-paper.jpg			00759598813416	759598813416			UPC	759598813416	0	TPMS	759598813416	29	1	16.70	nan	0	0.31884954143308364	0	0	0	0	0	0	0	0	0	0	80
85	https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=759598813416	https://www.amazon.com/gp/offer-listing/B00BT2L65G/ref=olp_f_new?ie=UTF8&f_new=true		Wau82341Us Paper 250 Velbrstl 67# Gy	https://images-na.ssl-images-amazon.com/images/I/41daoW-HuJL._AC_US218_.jpg	$ 13 39	Wausau	https://www.amazon.com/gp/offer-listing/B00BT2L65G/ref=olp_f_new?ie=UTF8&f_new=true	3-82341-F-P	Exact Vellum Bristol Gray Paper - 8 1/2 x 11 in 67 lb Bristol Vellum 250 per Package				4.03		11.976	14.97				https://www.thepapermillstore.com/exact-vellum-bristol-gray-paper-8-1-2-x-11-in-67-lb-bristol-vellum-250-per-package.html	https://www.thepapermillstore.com/media/catalog/product/e/x/exact-vellum-bristol-gray-paper.jpg			00759598813416	759598813416			UPC	759598813416	0	TPMS	759598813416	29	1	13.39	nan	0	0.16602259880482964	0	0	0	0	0	0	0	0	0	0	81
58	https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=759598813614	https://www.amazon.com/gp/offer-listing/B00BX9TII2/ref=olp_f_new?ie=UTF8&f_new=true		"Wholesale CASE of 15 - Wausau Exact Vellum Bristol Paper-Vellum Bristol Paper,67 lb,8-12""x11"",92 Bright,250/PK,IY"	https://images-na.ssl-images-amazon.com/images/I/41JROKrM0xL._AC_US218_.jpg	$ 166 99	Wau	https://www.amazon.com/gp/offer-listing/B00BX9TII2/ref=olp_f_new?ie=UTF8&f_new=true	3-82361-F-P	Exact Vellum Bristol Ivory Paper - 8 1/2 x 11 in 67 lb Bristol Vellum 250 per Package				3.83		11.976	14.97				https://www.thepapermillstore.com/exact-vellum-bristol-ivory-paper-8-1-2-x-11-in-67-lb-bristol-vellum-250-per-package.html	https://www.thepapermillstore.com/media/catalog/product/e/x/exact-vellum-bristol-ivory-paper.jpg			00759598813614	759598813614			UPC	759598813614	0	TPMS	759598813614	30	1	166.99	nan	0	0.4866267136240715	0	0	0	0	0	0	0	0	0	0	82
30	https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=759598813614	https://www.amazon.com/gp/offer-listing/B00BT2L7ZK/ref=olp_f_new?ie=UTF8&f_new=true		Wau82361Us Paper 250 Velbrstl 67# Iy	https://images-na.ssl-images-amazon.com/images/I/41th-9B-2UL._AC_US218_.jpg	$ 19 39		https://www.amazon.com/gp/offer-listing/B00BT2L7ZK/ref=olp_f_new?ie=UTF8&f_new=true	3-82361-F-P	Exact Vellum Bristol Ivory Paper - 8 1/2 x 11 in 67 lb Bristol Vellum 250 per Package				3.83		11.976	14.97				https://www.thepapermillstore.com/exact-vellum-bristol-ivory-paper-8-1-2-x-11-in-67-lb-bristol-vellum-250-per-package.html	https://www.thepapermillstore.com/media/catalog/product/e/x/exact-vellum-bristol-ivory-paper.jpg			00759598813614	759598813614			UPC	759598813614	0	TPMS	759598813614	30	1	19.39	nan	0	0.16602259880482964	0	0	0	0	0	0	0	0	0	0	83
39	https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=843855042814	https://www.amazon.com/gp/offer-listing/B004XG65QA/ref=olp_f_new?ie=UTF8&f_new=true		Mohawk Skytone Vellum Parchment Paper, 60 text 8.5 x 11 Inches, 500 Sheets/Ream - Sold as 1 Ream, Natural Shade (96600600)	https://images-na.ssl-images-amazon.com/images/I/31DwcjUCwtL._AC_US218_.jpg	$ 32 34	Mohawk Home	https://www.amazon.com/gp/offer-listing/B004XG65QA/ref=olp_f_new?ie=UTF8&f_new=true	3-96600600-F-P	Skytone Natural Paper - 8 1/2 x 11 in 60 lb Text Vellum  30% Recycled 500 per Ream				9.98		20.776	25.97				https://www.thepapermillstore.com/skytone-natural-paper-8-1-2-x-11-in-60-lb-text-vellum-30-recycled-500-per-ream.html	https://www.thepapermillstore.com/media/catalog/product/s/k/skytone-natural-card-stock-vellum.jpg			00843855042814	843855042814			UPC	843855042814	0	TPMS	843855042814	39	1	32.34	nan	0	0.5250591409407596	0	0	0	0	0	0	0	0	0	0	84
0	https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=020674241318	https://www.amazon.com/gp/offer-listing/B003M0IZF2/ref=olp_f_new?ie=UTF8&f_new=true		NEEB742 - Neenah Paper CAPITOL BOND Bond Paper	https://images-na.ssl-images-amazon.com/images/I/4172TYQJskL._AC_US218_.jpg		Neenah	https://www.amazon.com/NEEB742-Neenah-Paper-CAPITOL-BOND/dp/B003M0IZF2/ref=olp_f_new?ie=UTF8&f_new=true	3-B742-P	Capitol Bond White Paper - 8 1/2 x 11 in 24 lb Writing Light Cockle  25% Cotton Watermarked 500 per Ream				10.74		23.176	28.97				https://www.thepapermillstore.com/capitol-bond-white-paper-8-1-2-x-11-in-24-lb-writing-light-cockle-25-cotton-watermarked-500-per-ream.html	https://www.thepapermillstore.com/media/catalog/product/c/a/capitol-bond-white-paper-light-cockle.jpg			00020674241318	020674241318			UPC	020674241318	0	TPMS	020674241318	0	1	nan	nan	0	0.2361851450378704	0	0	0	0	0	0	0	0	0	0	85
44	https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=083514895218	https://www.amazon.com/gp/offer-listing/B0765D7GJJ/ref=olp_f_new?ie=UTF8&f_new=true		25% Cotton Linen Business Paper, 32lb, 8 1/2 x 11, White, 250 Sheets	https://images-na.ssl-images-amazon.com/images/I/415tJcPKMRL._AC_US218_.jpg	$ 21 48	Southworth	https://www.amazon.com/gp/offer-listing/B0765D7GJJ/ref=olp_f_new?ie=UTF8&f_new=true	3-J558C-F-P	Southworth Business Linen 25% Cotton White Paper - 8 1/2 x 11 in 32 lb Bond Linen  30% Recycled  25% Cotton Watermarked 250 per Package				15.02		26.376	32.97				https://www.thepapermillstore.com/southworth-business-linen-25-cotton-white-paper-8-1-2-x-11-in-32-lb-bond-linen-30-recycled-25-cotton-watermarked-250-per-package.html	https://www.thepapermillstore.com/media/catalog/product/s/o/southworth-business-linen-25-cotton-white-32-lb-paper-250.jpg			00083514895218	083514895218			UPC	083514895218	0	TPMS	083514895218	2	1	21.48	nan	0	0.7204604809083011	0	0	0	0	0	0	0	0	0	0	86
67	https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=083514895218	https://www.amazon.com/gp/offer-listing/B00BX9QHBI/ref=olp_f_new?ie=UTF8&f_new=true		"Wholesale CASE of 10 - Southworth 25% Cotton 32lb Linen Business Paper-Fine Linen Paper, 32 lb, 8-1/2""x11"", 250/BX, White"	https://images-na.ssl-images-amazon.com/images/I/41lcok5SvkL._AC_US218_.jpg	$ 35 74	sou	https://www.amazon.com/Wholesale-CASE-10-Southworth-Paper-Fine/dp/B00BX9QHBI/ref=olp_f_new?ie=UTF8&f_new=true	3-J558C-F-P	Southworth Business Linen 25% Cotton White Paper - 8 1/2 x 11 in 32 lb Bond Linen  30% Recycled  25% Cotton Watermarked 250 per Package				15.02		26.376	32.97				https://www.thepapermillstore.com/southworth-business-linen-25-cotton-white-paper-8-1-2-x-11-in-32-lb-bond-linen-30-recycled-25-cotton-watermarked-250-per-package.html	https://www.thepapermillstore.com/media/catalog/product/s/o/southworth-business-linen-25-cotton-white-32-lb-paper-250.jpg			00083514895218	083514895218			UPC	083514895218	0	TPMS	083514895218	2	1	35.74	nan	0	0.5779384805095111	0	0	0	0	0	0	0	0	0	0	87
2	https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=083514895218	https://www.amazon.com/gp/offer-listing/B001B0E6P8/ref=olp_f_new?ie=UTF8&f_new=true		Southworth 25% Cotton Business Paper, 8.5 x 11, 32 lb, Linen Finish, White, 250 Sheets (J558C)	https://images-na.ssl-images-amazon.com/images/I/41MATDNGGyL._AC_US218_.jpg	$ 21 48	Southworth	https://www.amazon.com/gp/offer-listing/B001B0E6P8/ref=olp_f_new?ie=UTF8&f_new=true	3-J558C-F-P	Southworth Business Linen 25% Cotton White Paper - 8 1/2 x 11 in 32 lb Bond Linen  30% Recycled  25% Cotton Watermarked 250 per Package				15.02		26.376	32.97				https://www.thepapermillstore.com/southworth-business-linen-25-cotton-white-paper-8-1-2-x-11-in-32-lb-bond-linen-30-recycled-25-cotton-watermarked-250-per-package.html	https://www.thepapermillstore.com/media/catalog/product/s/o/southworth-business-linen-25-cotton-white-32-lb-paper-250.jpg			00083514895218	083514895218			UPC	083514895218	0	TPMS	083514895218	2	1	21.48	nan	0	0.558877303568601	0	0	0	0	0	0	0	0	0	0	88
89	https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=083514895218	https://www.amazon.com/gp/offer-listing/B004E2MR10/ref=olp_f_new?ie=UTF8&f_new=true		Southworth Products - Southworth - 25% Cotton Fine Linen Paper, 32 lbs., 8-1/2 x 11, White, 250/Box - Sold As 1 Box - Adds a rich look and feel to everyday business and legal documents, letterheads, reports, presentations and more. - Adds a subtle elegance to documents. - Features the rich, distinctive look of natural linen. - Acid- and lignin-free. -	https://images-na.ssl-images-amazon.com/images/I/41nCvF7pqNL._AC_US218_.jpg	$ 60 04	Southworth Products	https://www.amazon.com/Southworth-Products-letterheads-presentations-lignin-free/dp/B004E2MR10/ref=olp_f_new?ie=UTF8&f_new=true	3-J558C-F-P	Southworth Business Linen 25% Cotton White Paper - 8 1/2 x 11 in 32 lb Bond Linen  30% Recycled  25% Cotton Watermarked 250 per Package				15.02		26.376	32.97				https://www.thepapermillstore.com/southworth-business-linen-25-cotton-white-paper-8-1-2-x-11-in-32-lb-bond-linen-30-recycled-25-cotton-watermarked-250-per-package.html	https://www.thepapermillstore.com/media/catalog/product/s/o/southworth-business-linen-25-cotton-white-32-lb-paper-250.jpg			00083514895218	083514895218			UPC	083514895218	0	TPMS	083514895218	2	1	60.04	nan	0	0.38361112419515553	0	0	0	0	0	0	0	0	0	0	89
83	https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=083514895218	https://www.amazon.com/gp/offer-listing/B0030BWO7S/ref=olp_f_new?ie=UTF8&f_new=true		Southworth : Credentials Collection Fine Linen Paper, White, Letter, 250 Sheets per Box -:- Sold as 2 Packs of - 250 - / - Total of 500 Each	https://images-na.ssl-images-amazon.com/images/I/41bPnU-TtwL._AC_US218_.jpg	$ 258 92	Southworth	https://www.amazon.com/Southworth-Credentials-Collection-Letter-Sheets/dp/B0030BWO7S/ref=olp_f_new?ie=UTF8&f_new=true	3-J558C-F-P	Southworth Business Linen 25% Cotton White Paper - 8 1/2 x 11 in 32 lb Bond Linen  30% Recycled  25% Cotton Watermarked 250 per Package				15.02		26.376	32.97				https://www.thepapermillstore.com/southworth-business-linen-25-cotton-white-paper-8-1-2-x-11-in-32-lb-bond-linen-30-recycled-25-cotton-watermarked-250-per-package.html	https://www.thepapermillstore.com/media/catalog/product/s/o/southworth-business-linen-25-cotton-white-32-lb-paper-250.jpg			00083514895218	083514895218			UPC	083514895218	0	TPMS	083514895218	2	1	258.92	nan	0	0.21421277327358426	0	0	0	0	0	0	0	0	0	0	90
8	https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=708081096546	https://www.amazon.com/gp/offer-listing/B007TVGDH2/ref=olp_f_new?ie=UTF8&f_new=true		Kant Kopy Security Paper 250 Pack	https://images-na.ssl-images-amazon.com/images/I/51sjkUHDrdL._AC_US218_.jpg	$ 26 95	Kant Kopy	https://www.amazon.com/Kant-Kopy-Security-Paper-Pack/dp/B007TVGDH2/ref=olp_f_new?ie=UTF8&f_new=true	3-KK12A1VBL-P	Security Sheets - Kant Kopy Void Security Sheets 60 lb Offset Uncoated Blue 8.5 x 11 Sheets 250 per Package				2.39		18.376	22.97				https://www.thepapermillstore.com/security-sheets-kant-kopy-void-security-sheets-60-lb-offset-uncoated-blue-8-5-x-11-sheets-250-per-package.html	https://www.thepapermillstore.com/media/catalog/product/b/l/blanks-usa-kant-copy-void-security-sheets-blue-paper-85x11.jpg			00708081096546	708081096546			UPC	708081096546	0	TPMS	708081096546	8	1	26.95	nan	0	0.2600224207102687	0	0	0	0	0	0	0	0	0	0	91
34	https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=808604245922	https://www.amazon.com/gp/offer-listing/B004IWRYD2/ref=olp_f_new?ie=UTF8&f_new=true		Mohawk BriteHue Envelopes, 10 Commercial Flap Vellum Finish 24lb/60 text (89 gsm), 4-1/8 x 9-1/2 Inch, 500 Envelopes/Box - Sold as 1 Box, Sun Yellow (M70181)	https://images-na.ssl-images-amazon.com/images/I/41G3RNXUHtL._AC_US218_.jpg	$ 49 00	Mohawk Home	https://www.amazon.com/Mohawk-BriteHue-Envelopes-Commercial-Vellum/dp/B004IWRYD2/ref=olp_f_new?ie=UTF8&f_new=true	3-M70181-BOX	BriteHue Sun Yellow Envelopes - No. 10 Commercial (4 1/8 x 9 1/2) 60 lb Text Semi-Vellum  30% Recycled 500 per Box				15.71		31.976	39.97				https://www.thepapermillstore.com/britehue-sun-yellow-envelopes-no-10-commercial-4-1-8-x-9-1-2-60-lb-text-semi-vellum-30-recycled-500-per-box.html	https://www.thepapermillstore.com/media/catalog/product/b/r/britehue-sun-yellow-10-envelopes-semi-vellum.jpg			00808604245922	808604245922			UPC	808604245922	0	TPMS	808604245922	34	1	49.00	nan	0	0.6828659220135659	0	0	0	0	0	0	0	0	0	0	92
32	https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=808604245366	https://www.amazon.com/gp/offer-listing/B004IWRY3M/ref=olp_f_new?ie=UTF8&f_new=true		Mohawk BriteHue Envelopes, #10 Commercial Flap Vellum Finish 24lb / 60 text (89 gsm), 4-1/8 x 9-1/2 Inch, 500 Envelopes/Box, Sold as 1 Box, Blue (M99808)	https://images-na.ssl-images-amazon.com/images/I/410U-MuTECL._AC_US218_.jpg	$ 47 00	Mohawk Home	https://www.amazon.com/gp/offer-listing/B004IWRY3M/ref=olp_f_new?ie=UTF8&f_new=true	3-M99808-BOX	BriteHue Blue Envelopes - No. 10 Commercial (4 1/8 x 9 1/2) 60 lb Text Semi-Vellum  30% Recycled 500 per Box				15.71		31.976	39.97				https://www.thepapermillstore.com/britehue-blue-envelopes-no-10-commercial-4-1-8-x-9-1-2-60-lb-text-semi-vellum-30-recycled-500-per-box.html	https://www.thepapermillstore.com/media/catalog/product/b/r/britehue-blue-10-envelopes-semi-vellum.jpg			00808604245366	808604245366			UPC	808604245366	0	TPMS	808604245366	32	1	47.00	nan	0	0.6748877799235613	0	0	0	0	0	0	0	0	0	0	93
33	https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=808604245762	https://www.amazon.com/gp/offer-listing/B004KNYDEM/ref=olp_f_new?ie=UTF8&f_new=true		Mohawk BriteHue Envelopes, #10 Commercial Flap, 4-1/8 x 9-1/2 Inch, Red Vellum Finish 24lb / 60 text (89 gsm) 500 Envelopes/Box - Sold as 1 Box (M99865)	https://images-na.ssl-images-amazon.com/images/I/41blRKCZ1HL._AC_US218_.jpg	$ 47 16	Mohawk Home	https://www.amazon.com/gp/offer-listing/B004KNYDEM/ref=olp_f_new?ie=UTF8&f_new=true	3-M99865-BOX	BriteHue Red Envelopes - No. 10 Commercial (4 1/8 x 9 1/2) 60 lb Text Semi-Vellum  30% Recycled 500 per Box				15.71		31.976	39.97				https://www.thepapermillstore.com/britehue-red-envelopes-no-10-commercial-4-1-8-x-9-1-2-60-lb-text-semi-vellum-30-recycled-500-per-box.html	https://www.thepapermillstore.com/media/catalog/product/b/r/britehue-red-10-envelopes-semi-vellum.jpg			00808604245762	808604245762			UPC	808604245762	0	TPMS	808604245762	33	1	47.16	nan	0	0.6748877799235613	0	0	0	0	0	0	0	0	0	0	94
